timestamp,date,no2,voc,pm10,pm2.5,no2plume,voc plume,pm10 plume,pm2.5 plume,pm1 ,pm1 plume
1691124127,04-08-2023 04:42,19,127,26.62554,10.051508,18,10,27,20,6,15
1691124187,04-08-2023 04:43,19,126,75.27201,13.995853,18,10,92,28,8,20
1691124247,04-08-2023 04:44,19,128,44.73653,7.5919013,18,10,45,15,6,14
1691124307,04-08-2023 04:45,20,126,45.09768,9.343622,19,10,45,19,4,9
1691124367,04-08-2023 04:46,10,125,68.98213,16.129055,0,10,82,32,8,20
1691124427,04-08-2023 04:47,19,124,37.619717,11.165915,18,10,38,22,7,19
1691124487,04-08-2023 04:48,19,125,23.837238,4.854722,18,10,24,10,4,10
1691124547,04-08-2023 04:49,19,123,43.19456,4.3901215,18,10,43,9,1,4
1691124607,04-08-2023 04:50,20,123,31.481098,7.729958,19,10,31,15,7,17
1691124667,04-08-2023 04:51,19,124,31.695538,10.246041,18,10,32,20,9,23
1691124727,04-08-2023 04:52,20,123,30.470154,5.3905287,19,10,30,11,4,11
1691124787,04-08-2023 04:53,19,125,22.26579,9.040589,18,10,22,18,7,17
1691124847,04-08-2023 04:54,19,125,22.762356,10.986298,18,10,23,22,6,16
1691124907,04-08-2023 04:55,19,127,29.93755,13.074927,18,10,30,26,8,20
1691124967,04-08-2023 04:56,19,129,12.862627,10.918119,0,10,13,22,8,21
1691125027,04-08-2023 04:57,19,130,21.68652,9.748197,18,10,22,19,9,22
1691125087,04-08-2023 04:58,20,126,12.892475,9.924522,19,10,13,20,8,19
1691125147,04-08-2023 04:59,19,124,49.996513,16.545416,18,10,50,33,8,21
1691125207,04-08-2023 05:00,19,128,11.615021,8.675574,18,10,12,17,8,19
1691125267,04-08-2023 05:01,19,125,32.879166,14.808622,18,10,33,30,9,23
1691125327,04-08-2023 05:02,20,127,11.749028,10.749028,19,10,12,21,9,23
1691125387,04-08-2023 05:03,19,124,12.4518175,10.748618,18,10,12,21,9,22
1691125447,04-08-2023 05:04,20,131,9.929236,8.929236,19,10,10,18,8,20
1691125507,04-08-2023 05:05,21,127,18.32668,17.32668,20,10,18,35,9,22
1691125567,04-08-2023 05:06,20,128,22.34567,,0,10,0,0,,
1691125627,04-08-2023 05:07,19,127,24.379965,23.310766,18,10,24,47,12,30
1691125687,04-08-2023 05:08,20,126,21.135841,20.135841,19,10,21,40,11,27
1691125747,04-08-2023 05:09,20,125,24.357655,23.357655,19,10,24,47,14,35
1691125807,04-08-2023 05:10,20,125,25.73815,24.73815,19,0,26,49,13,33
1691125867,04-08-2023 05:11,20,126,19.673822,18.673822,19,10,20,37,10,24
1691125927,04-08-2023 05:12,21,123,29.29472,10.312959,20,10,29,21,9,22
1691125987,04-08-2023 05:13,21,118,14.725664,10.850326,20,9,15,22,9,23
1691126047,04-08-2023 05:14,21,117,39.201374,10.843296,20,9,39,22,8,20
1691126107,04-08-2023 05:15,21,114,68.10897,14.359478,20,9,80,29,8,19
1691126167,04-08-2023 05:16,21,115,24.082918,8.155739,0,9,24,16,7,18
1691126227,04-08-2023 05:17,21,113,10.149955,9.149955,20,9,10,18,8,20
1691126287,04-08-2023 05:18,21,116,11.15844,6.210045,20,9,11,12,5,13
1691126347,04-08-2023 05:19,21,114,68.3418,9.96332,20,9,81,20,7,16
1691126407,04-08-2023 05:20,20,115,59.124424,12.245861,19,9,65,24,6,14
1691126467,04-08-2023 05:21,20,112,58.422993,8.998341,19,9,64,18,5,12
1691126527,04-08-2023 05:22,21,113,31.007675,7.695239,20,9,31,15,3,7
1691126587,04-08-2023 05:23,21,111,49.923607,6.4817805,20,9,50,13,3,8
